2022-50-28	18:50:49	7915ed26-7f5a-4494-b451-4d371a0da67a	GET 	 undefined 	 /img/pic3.png
2022-52-28	18:52:25	9105fdd7-8949-4f31-ad29-f01d33480aea	GET 	 undefined 	 /index
2022-52-28	18:52:25	2ab19461-d6e4-45c3-8771-fa1c6fa3df73	GET 	 undefined 	 /css/style.css
2022-32-29	12:32:08	05af7f2b-85aa-4206-9684-e9b6c07fc460	GET 	 undefined 	 /css/style.css
2022-32-29	12:32:09	79a6170f-6faf-4364-bdb1-8429dfe7aa02	GET 	 undefined 	 /favicon.ico
2022-32-29	12:32:41	b5f46132-c9ad-4da7-b09f-984e3924a971	GET 	 undefined 	 /css/style.css
2022-32-29	12:32:41	663ad1a9-3ad6-42ee-94b6-d0db5c0a4370	GET 	 undefined 	 /favicon.ico
2022-32-29	12:32:43	b9a917d0-d29a-478e-b205-1dbecfd005c2	GET 	 undefined 	 /index
2022-32-29	12:32:43	33ae9af5-076b-49fb-8ced-1cb837477b6c	GET 	 undefined 	 /css/style.css
2022-32-29	12:32:43	78dc1c2f-3cd9-4d64-9256-dfb6e24333eb	GET 	 undefined 	 /index
2022-32-29	12:32:43	5f3054c3-e031-42a2-a9f7-9977ee3c401f	GET 	 undefined 	 /css/style.css
2022-32-29	12:32:43	517f59c2-bc5e-44ec-837f-5586d3547d0a	GET 	 undefined 	 /index
2022-32-29	12:32:43	ae3567f1-8fe9-46aa-b6c5-7bef3e51c096	GET 	 undefined 	 /css/style.css
2022-32-29	12:32:57	39ccf5cb-b8b1-4b08-813c-d883f4db56d4	GET 	 undefined 	 /employees
2022-33-29	12:33:09	ad1fa595-1c01-4b4b-85d8-19ed6b9dc50d	GET 	 undefined 	 /employees/id
2022-33-29	12:33:20	52561b0b-2737-4610-ae97-9aae9eeff5d6	GET 	 undefined 	 /employees/id/vis
2022-33-29	12:33:20	837aee5c-a8a1-43d5-913f-5c8088706cd1	GET 	 undefined 	 /employees/id/css/style.css
2022-33-29	12:33:28	4d7a9ed7-51a8-497d-9311-2ef1e036f52d	GET 	 undefined 	 /
2022-33-29	12:33:28	a3e7eb90-70e4-4959-8067-e0785d72c59f	GET 	 undefined 	 /css/style.css
